Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Comment,Comment,Status Category,Status Category Changed
В профиле пользователя не возможно редактировать данные по причине их первоначального несохранения,NEXT-96,10687,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 4:48 PM,13/Feb/26 4:48 PM,,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги:

# Нажать на кнопку Profile Setting
# Заполнить поле First Name другими валидными тестовыми данными
# Заполнить поле Last Name другими  валидными тестовыми данными
# Нажать на кнопку Save changes

Ожидаемый результат:

Система сохранила внесенные данные. 

Фактический результат:

Система не сохранила внесенные данные. Поля First Name и Last Name не заполнены.

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 4:48 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;заполнение профиля_нет сохран данных_1.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10318,,,,,,0|i000hh:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 4:48 PM
При заполнении профиля пользователя поля Last Name не выполнено требование по максимальному количеству символов,NEXT-95,10686,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 3:56 PM,13/Feb/26 3:56 PM,,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги:

# Нажать на кнопку Profile Setting
# Заполнить поле Last Name данными в количестве 51 символов
# Перейти на следующее поле

Ожидаемый результат:

Система отображает сообщение об ошибке превышения максимального количества символов.

Фактический результат:

Система не отображает сообщение об ошибке.

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 3:56 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;last name на макс символов.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10316,,,,,,0|i000h9:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 3:56 PM
При заполнении профиля пользователя поля Last Name не выполнено требование по минимальному количеству символов,NEXT-94,10685,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 3:54 PM,13/Feb/26 3:54 PM,,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги:

# Нажать на кнопку Profile Setting
# Заполнить поле Last Name данными в количестве 3 символов
# Перейти на следующее поле

Ожидаемый результат:

Валидация поля Last Name на минимальное количество символов пройдена успешна. Система не отображает сообщение об ошибке.

Фактический результат:

Система отображает сообщение об ошибке “Last name must be at least 4 characters”.

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 3:54 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;last name на мин символов.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10314,,,,,,0|i000h1:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 3:54 PM
При заполнении профиля пользователя поля First Name не выполнено требование по максимальному количеству символов,NEXT-93,10684,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 3:52 PM,13/Feb/26 3:52 PM,13/Feb/26 3:55 PM,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги:

# Нажать на кнопку Profile Setting
# Заполнить поле First Name данными в количестве 51 символов
# Перейти на следующее поле

Ожидаемый результат:

Система отображает сообщение об ошибке превышения максимального количества символов.

Фактический результат:

Система не отображает сообщение об ошибке.

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 3:52 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;firstname на макс симв.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10312,,,,,,0|i000gt:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 3:52 PM
При заполнении профиля пользователя поля First Name не выполнено требование по минимальному количеству символов,NEXT-92,10683,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 3:49 PM,13/Feb/26 3:49 PM,13/Feb/26 3:50 PM,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги:

# Нажать на кнопку Profile Setting
# Заполнить поле First Name данными в количестве 3 символов
# Перейти на следующее поле

Ожидаемый результат:

Валидация поля First Name на минимальное количество символов пройдена успешна. Система не отображает сообщение об ошибке.

Фактический результат:

Система отображает сообщение об ошибке “First name must be at least 4 characters”.

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 3:49 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;firstname на миним симв.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10310,,,,,,0|i000gl:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 3:49 PM
При заполнении профиля пользователя нет уведомления системы о сохранении/несохранении данных,NEXT-91,10682,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 3:43 PM,13/Feb/26 3:43 PM,,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги:

# Нажать на кнопку Profile Setting
# Заполнить поле First Name валидными тестовыми данными
# Заполнить поле Last Name валидными тестовыми данными
# Нажать на кнопку Save changes

Ожидаемый результат:

Система отображает сообщение: “{{Your settings are saved!"" либо ""Error! Server is not available!""}}.

Фактический результат:

Система не отображает сообщения. 

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 3:43 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;заполнение профиля_нет сообщ системы о сохран.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10308,,,,,,0|i000gd:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 3:43 PM
В профиле пользователя при заполнении нет сохранения данных,NEXT-90,10681,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Feb/26 3:39 PM,13/Feb/26 3:39 PM,13/Feb/26 4:44 PM,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя

Шаги: 

# Нажать на кнопку Profile Setting
# Заполнить поле First Name валидными тестовыми данными
# Заполнить поле Last Name валидными тестовыми данными
# Нажать на кнопку Save changes
# Перейти на вкладку Devices
# Перейти на вкладку General Information

Ожидаемый результат:

Система сохранила внесенные данные. 

Фактический результат:

Система не сохранила внесенные данные. Поля First Name и Last Name не заполнены. 

Серьезность дефекта: средний

Приоритет дефекта: высокий

Окружение: Goggle. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Feb/26 3:39 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;заполнение профиля_нет сохран данных_1.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10305,13/Feb/26 3:39 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;заполнение профиля_нет сохран данных_2.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10306,,,,,0|i000g5:,Спринт 6,,,,,,,,,,To Do,13/Feb/26 3:39 PM
В разделе Уведомления текст сообщения не отображает корректную информацию о сроках истечения подписки,NEXT-89,10648,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,Александр,712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,06/Feb/26 3:34 PM,10/Feb/26 9:17 AM,10/Feb/26 9:04 AM,10/Feb/26 9:17 AM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Система отображает количество непрочитанных уведомлений возле иконки ""колокольчик""

Шаги воспроизведения:

# Нажать на иконку Колокольчик в правом верхнем углу
# Открыть уведомления

Ожидаемый результат: 

Уведомления включает сообщение: напоминания об окончании подписки  {{{ Ваша подписка истекает через 1 день }}} (приходит за 1 день до истечения срока). 

Фактический результат: 

Система направляет направило сообщение об истечении подписки через 1 день, хотя в списке подписок нет данного срока окончания. ",,Александр,Ирина,712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,06/Feb/26 8:14 PM;ug:44b46f7c-de06-4002-88c0-1635564380bc;2026-02-06 21-10-31.mp4;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10270,06/Feb/26 3:34 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;уведомление_текст сообщений 2.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10237,06/Feb/26 3:33 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;уведомление_текст сообщений.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10236,,,,0|i000ei:,Спринт 6,,,,,,,"06/Feb/26 8:14 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;!2026-02-06 21-10-31.mp4|width=635,alt=""2026-02-06 21-10-31.mp4""!",06/Feb/26 8:14 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;ответ в видео! ,06/Feb/26 8:15 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;эта ошибка уйдет сама если на учесном бэкенде исправят это ! но не факт что это сделают!,Done,10/Feb/26 9:17 AM
"В публикации при удалении поста некорректный текст сообщения, не предполагает ответы Yes/NO",NEXT-88,10615,Bug,To Do,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,03/Feb/26 11:42 AM,03/Feb/26 11:42 AM,19/Feb/26 10:33 AM,,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Открыта вкладка My Profile

Шаги:

# Нажать на пост
# Нажать на контекстное меню (три точки)
# Нажать на ""Delete Post""

Ожидаемый результат: 

Система отображает сообщение, которое предполагает варианты ответов: Yes/No

Фактический результат:

Система отображает сообщение: “Вы уверены, что хотите удалить этот пост? Это действие нельзя отменить."" Варианты ответов: Отмена/Удалить

Серьезность: низкая

Приоритет: средний

Окружение: Google. Winwows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,03/Feb/26 11:41 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;удаление поста_текст сообщ.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10167,,,,,,0|i000fx:,Спринт 6,,,,,,,,,,To Do,03/Feb/26 11:42 AM
В публикации при закрытии формы редактирования поста нет сообщения согласно требованию. ,NEXT-86,10549,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,27/Jan/26 9:32 AM,27/Jan/26 9:32 AM,27/Jan/26 9:32 AM,27/Jan/26 9:32 AM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Открыта вкладка My Profile
# Открыта публикация

Шаги: 

# Нажать на контекстное меню (три точки)
# Нажать на ""Edit Post""
# Нажать на крестик, либо кликнуть за пределами формы редактирования

Ожидаемый результат: 

{{Система отображает сообщение: ""Do you really want to finish editing? If you close the changes you have made will not be saved}}""

Фактический результат: 

Система возвращает пользователя к открытой публикации.

Серьезность: незначительная

Приоритет: средний

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,27/Jan/26 9:32 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;20260127_133040.mp4;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10133,,,,,,0|i000fp:,Спринт 6,,,,,,,,,,Done,27/Jan/26 9:32 AM
При просмотре поста не отображается его описание,NEXT-85,10548,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,Александр,712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,27/Jan/26 9:03 AM,06/Feb/26 3:35 PM,06/Feb/26 3:35 PM,06/Feb/26 3:35 PM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Открыта вкладка My Profile

Шаги воспроизведения: 

# Нажать на публикацию

Ожидаемый результат: 

Система отображает публикацию вместе с описание и комментариями. 

Фактический результат:

Система отображает публикацию только с комментариями. Нет описания поста. Его описание открывается только когда проваливаемся в его редактирование. 

Серьезность: средняя

Приоритет: высокий

Окружение: Google. Windows 10",,Александр,Ирина,712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,03/Feb/26 1:36 PM;ug:44b46f7c-de06-4002-88c0-1635564380bc;Снимок экрана 2026-02-03 в 14.13.05.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10201,03/Feb/26 1:36 PM;ug:44b46f7c-de06-4002-88c0-1635564380bc;Снимок экрана 2026-02-03 в 14.16.36.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10200,27/Jan/26 9:02 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;нет описания к посту.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10130,27/Jan/26 9:02 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;редактирование опис поста_не видно опис.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10131,,,0|i000dr:,Спринт 6,,,,,,,"03/Feb/26 1:36 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;!Снимок экрана 2026-02-03 в 14.13.05.png|width=635,alt=""Снимок экрана 2026-02-03 в 14.13.05.png""!

!Снимок экрана 2026-02-03 в 14.16.36.png|width=620,alt=""Снимок экрана 2026-02-03 в 14.16.36.png""!","03/Feb/26 1:37 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;Работает, описание поста сверху над комментариями.",,Done,06/Feb/26 3:35 PM
